Num_Threads,Iter,Time
1,100,8479.6
2,100,
3,100,
4,100,6631.5
5,100,
6,100,
7,100,
8,100,
9,100,
10,100,
11,100,
12,100,
13,100,
14,100,
15,100,
16,100,12650.4
1,200,31704.7
2,200,
3,200,
4,200,19675.1
5,200,
6,200,
7,200,
8,200,
9,200,
10,200,
11,200,
12,200,
13,200,
14,200,
15,200,
16,200,26074.7
1,300,112123
2,300,
3,300,
4,300,50026.1
5,300,
6,300,
7,300,
8,300,
9,300,45887.9
10,300,
11,300,
12,300,
13,300,
14,300,
15,300,
16,300,59424.6
1,400,300554
2,400,
3,400,
4,400,116820
5,400,
6,400,
7,400,
8,400,
9,400,
10,400,
11,400,
12,400,
13,400,
14,400,
15,400,
16,400,118769
1,500,704864
2,500,
3,500,
4,500,196777
5,500,
6,500,
7,500,
8,500,
9,500,
10,500,
11,500,
12,500,
13,500,
14,500,
15,500,
16,500,169560
1,600,951882
2,600,
3,600,
4,600,340287
5,600,
6,600,
7,600,
8,600,
9,600,230070
10,600,
11,600,
12,600,
13,600,
14,600,
15,600,
16,600,237482
1,700,1.7736e+06
2,700,
3,700,
4,700,427758
5,700,
6,700,
7,700,
8,700,
9,700,
10,700,
11,700,
12,700,
13,700,
14,700,
15,700,
16,700,348920
1,800,2.33956e+06
2,800,
3,800,
4,800,608395
5,800,
6,800,
7,800,
8,800,
9,800,
10,800,
11,800,
12,800,
13,800,
14,800,
15,800,
16,800,487896
1,900,4.10308e+06
2,900,
3,900,
4,900,1.00058e+06
5,900,
6,900,
7,900,
8,900,
9,900,665890
10,900,
11,900,
12,900,
13,900,
14,900,
15,900,
16,900,657049
1,1000,4.61998e+06
2,1000,
3,1000,
4,1000,1.47108e+06
5,1000,
6,1000,
7,1000,
8,1000,
9,1000,
10,1000,
11,1000,
12,1000,
13,1000,
14,1000,
15,1000,
16,1000,902041
