Num_Threads,Iter,Time
1,100,4676.4
2,100,3814.3
3,100,
4,100,3644
5,100,5889
6,100,
7,100,
8,100,
9,100,
10,100,5772.2
11,100,
12,100,
13,100,
14,100,
15,100,
16,100,
1,200,29004.3
2,200,18656.3
3,200,
4,200,19083.5
5,200,14045.7
6,200,
7,200,
8,200,16127.6
9,200,
10,200,17698.5
11,200,
12,200,
13,200,
14,200,
15,200,
16,200,
1,300,111678
2,300,52928.5
3,300,41648.8
4,300,54680
5,300,36621.3
6,300,40006.5
7,300,
8,300,
9,300,
10,300,39704.5
11,300,
12,300,44822.3
13,300,
14,300,
15,300,46354.2
16,300,
1,400,228111
2,400,125248
3,400,
4,400,97034.3
5,400,86499.7
6,400,
7,400,
8,400,90023.8
9,400,
10,400,83237.1
11,400,
12,400,
13,400,
14,400,
15,400,
16,400,99607
1,500,487333
2,500,271031
3,500,
4,500,219677
5,500,202754
6,500,
7,500,
8,500,
9,500,
10,500,154562
11,500,
12,500,
13,500,
14,500,
15,500,
16,500,
1,600,856570
2,600,503117
3,600,387736
4,600,307490
5,600,285474
6,600,287571
7,600,
8,600,273471
9,600,
10,600,249111
11,600,
12,600,253961
13,600,
14,600,
15,600,268765
16,600,
1,700,1.77087e+06
2,700,987912
3,700,
4,700,590841
5,700,510589
6,700,
7,700,462907
8,700,
9,700,
10,700,465633
11,700,
12,700,
13,700,
14,700,432674
15,700,
16,700,
1,800,2.31965e+06
2,800,1.26184e+06
3,800,
4,800,770598
5,800,661143
6,800,
7,800,
8,800,585336
9,800,
10,800,539223
11,800,
12,800,
13,800,
14,800,
15,800,
16,800,592551
1,900,4.02583e+06
2,900,2.08034e+06
3,900,1.50398e+06
4,900,1.24594e+06
5,900,1.10212e+06
6,900,963320
7,900,
8,900,
9,900,823806
10,900,781558
11,900,
12,900,786287
13,900,
14,900,
15,900,784834
16,900,
1,1000,4.52222e+06
2,1000,2.50588e+06
3,1000,
4,1000,1.66682e+06
5,1000,1.59034e+06
6,1000,
7,1000,
8,1000,1.15411e+06
9,1000,
10,1000,1.10947e+06
11,1000,
12,1000,
13,1000,
14,1000,
15,1000,
16,1000,
