Num_Threads,Iter,Time
1,10,26.1
2,10,828.6
3,10,720.1
4,10,1298.6
5,10,1188.4
6,10,1264.2
7,10,1601
8,10,2420.1
9,10,2335.7
10,10,1786.7
11,10,1099.2
12,10,1063.6
13,10,1045.9
14,10,1378.3
15,10,1469
16,10,1293.1
1,100,21.9
2,100,955
3,100,783
4,100,1150.6
5,100,1176.1
6,100,1300.6
7,100,1462.3
8,100,1640.7
9,100,1635.5
10,100,2048.8
11,100,2107.9
12,100,1767.1
13,100,1986.4
14,100,2034.8
15,100,2062.4
16,100,2626.8
1,1000,30.3
2,1000,920.9
3,1000,793.3
4,1000,1333.1
5,1000,1321.3
6,1000,1155.5
7,1000,1320.9
8,1000,1707
9,1000,2195.3
10,1000,2125.2
11,1000,1659.8
12,1000,2339
13,1000,1949.4
14,1000,2134.1
15,1000,2300.2
16,1000,2947.8
1,10000,124
2,10000,845.3
3,10000,833
4,10000,1492.7
5,10000,2154.8
6,10000,1520
7,10000,1373.6
8,10000,1566.2
9,10000,1698.4
10,10000,2021.9
11,10000,2096.3
12,10000,2093.2
13,10000,2043.2
14,10000,2130.1
15,10000,2662.9
16,10000,2524.5
1,100000,827.7
2,100000,2158.9
3,100000,2535.4
4,100000,3166.8
5,100000,2494.4
6,100000,2422.8
7,100000,2391.3
8,100000,3534
9,100000,3095.3
10,100000,3366.8
11,100000,3841.7
12,100000,2746.3
13,100000,2698.5
14,100000,2907.2
15,100000,2806.4
16,100000,3921.9
1,1000000,10791.9
2,1000000,7059.3
3,1000000,5552.2
4,1000000,6244.6
5,1000000,5573.9
6,1000000,6029.4
7,1000000,5919.9
8,1000000,6480.9
9,1000000,6137.9
10,1000000,7021.7
11,1000000,6838
12,1000000,5381.2
13,1000000,6469.8
14,1000000,7063.9
15,1000000,6186.1
16,1000000,7985
