Num_Threads,Iter,Time
1,10,25.8
2,10,1104.8
3,10,944.4
4,10,1270.9
5,10,1368.9
6,10,1714.7
7,10,1441.6
8,10,9265.7
9,10,1768.5
10,10,1694.5
11,10,2119.5
12,10,1859.5
13,10,2008.7
14,10,2366.2
15,10,2289.6
16,10,2195.4
1,100,22.1
2,100,874.9
3,100,769.6
4,100,1119.1
5,100,1284.5
6,100,1178.1
7,100,1302.6
8,100,1522.3
9,100,1635
10,100,1937.6
11,100,1889.9
12,100,1778.2
13,100,2262.4
14,100,2195.5
15,100,2222.8
16,100,2516.1
1,1000,33.1
2,1000,807.5
3,1000,952.8
4,1000,1284.7
5,1000,1330.8
6,1000,1211.8
7,1000,1379.9
8,1000,1725.8
9,1000,1846
10,1000,2008.8
11,1000,2352.9
12,1000,2037
13,1000,2018.9
14,1000,1948.9
15,1000,2007
16,1000,2454.4
1,10000,166.6
2,10000,1097.5
3,10000,986.8
4,10000,1660.3
5,10000,1862.3
6,10000,1933
7,10000,1831
8,10000,2406.6
9,10000,2994.4
10,10000,2597.1
11,10000,2458.8
12,10000,2723.3
13,10000,2498.9
14,10000,2935.6
15,10000,2883.4
16,10000,3248.1
1,100000,1532.6
2,100000,2279.2
3,100000,1857
4,100000,3714.1
5,100000,3469.6
6,100000,2883.3
7,100000,3292.2
8,100000,4551.1
9,100000,5567.7
10,100000,5335.1
11,100000,6276.4
12,100000,5560.8
13,100000,6834.2
14,100000,6867.1
15,100000,7468.9
16,100000,8181.1
1,1000000,17030.8
2,1000000,14270.7
3,1000000,12808.5
4,1000000,16042.4
5,1000000,17309.8
6,1000000,19311.6
7,1000000,20504.2
8,1000000,27112.3
9,1000000,27530.1
10,1000000,31305.5
11,1000000,32497.7
12,1000000,35296.3
13,1000000,36959
14,1000000,41996.9
15,1000000,49357.2
16,1000000,62922.3
