Num_Threads,Iter,Time
1,90,19.2
2,90,683.2
3,90,1152.9
4,90,1110.1
5,90,1153.5
6,90,1383.0
7,90,1314.0
8,90,1724.3
9,90,2084.9
10,90,1712.4
11,90,1916.2
12,90,2096.7
13,90,2277.8
14,90,1941.3
15,90,2126.4
16,90,2351.6
1,900,26.8
2,900,1066.0
3,900,730.5
4,900,1087.1
5,900,1193.6
6,900,1223.1
7,900,1470.0
8,900,1770.8
9,900,1765.3
10,900,1842.0
11,900,1837.6
12,900,2048.5
13,900,2010.1
14,900,2002.3
15,900,2255.2
16,900,2346.0
1,9000,115.2
2,9000,1063.0
3,9000,874.1
4,9000,1206.1
5,9000,1487.3
6,9000,1297.3
7,9000,1468.3
8,9000,1554.0
9,9000,2271.8
10,9000,1987.7
11,9000,1967.3
12,9000,1901.8
13,9000,2614.5
14,9000,2448.2
15,9000,2641.1
16,9000,2769.8
1,90000,1005.2
2,90000,1641.3
3,90000,1355.0
4,90000,3061.2
5,90000,2792.2
6,90000,2122.5
7,90000,2536.4
8,90000,3093.9
9,90000,2674.4
10,90000,3289.7
11,90000,2808.2
12,90000,2574.7
13,90000,2768.7
14,90000,2562.9
15,90000,2894.7
16,90000,3516.3
1,900000,10677.5
2,900000,7577.5
3,900000,5705.5
4,900000,6425.0
5,900000,5665.5
6,900000,4565.3
7,900000,5900.4
8,900000,5376.6
9,900000,6136.6
10,900000,5770.3
11,900000,6208.6
12,900000,6494.2
13,900000,8561.4
14,900000,6236.2
15,900000,7578.2
16,900000,7516.6
1,9000000,104549.0
2,9000000,61584.4
3,9000000,43670.0
4,9000000,43922.5
5,9000000,38041.9
6,9000000,34204.5
7,9000000,41545.6
8,9000000,50970.3
9,9000000,40360.8
10,9000000,35792.1
11,9000000,40226.7
12,9000000,36828.3
13,9000000,37217.9
14,9000000,40263.9
15,9000000,40088.6
16,9000000,47500.2
