Num_Threads,Iter,Time
1,90,20.6
2,90,636.6
3,90,446.8
4,90,1043.9
5,90,854.3
6,90,1189.9
7,90,1354.5
8,90,1262.7
9,90,1427.2
10,90,1880.2
11,90,1278.8
12,90,1404.8
13,90,1753.9
14,90,1591.0
15,90,1487.1
16,90,1773.0
1,900,24.8
2,900,405.5
3,900,340.9
4,900,329.4
5,900,511.2
6,900,894.7
7,900,560.9
8,900,919.5
9,900,1594.1
10,900,1171.1
11,900,1802.1
12,900,1060.8
13,900,1361.1
14,900,1143.7
15,900,1159.2
16,900,5439.4
1,9000,123.5
2,9000,365.3
3,9000,353.8
4,9000,881.5
5,9000,729.4
6,9000,643.5
7,9000,701.3
8,9000,1037.9
9,9000,1156.1
10,9000,1396.7
11,9000,1067.1
12,9000,1305.3
13,9000,1323.4
14,9000,2276.1
15,9000,1610.6
16,9000,1886.0
1,90000,1228.3
2,90000,645.4
3,90000,892.5
4,90000,499.4
5,90000,701.6
6,90000,562.8
7,90000,393.4
8,90000,2860.5
9,90000,1046.5
10,90000,794.6
11,90000,868.3
12,90000,1217.5
13,90000,629.9
14,90000,831.4
15,90000,2283.8
16,90000,2315.5
1,900000,12445.6
2,900000,7364.1
3,900000,6355.2
4,900000,6604.5
5,900000,6193.9
6,900000,5448.0
7,900000,6606.6
8,900000,4191.4
9,900000,4052.6
10,900000,4551.2
11,900000,3860.1
12,900000,6146.7
13,900000,5981.1
14,900000,5515.8
15,900000,8875.3
16,900000,11884.7
1,9000000,142067.0
2,9000000,77369.1
3,9000000,77618.4
4,9000000,68224.6
5,9000000,59108.4
6,9000000,71694.7
7,9000000,71880.8
8,9000000,44526.1
9,9000000,41701.0
10,9000000,36608.1
11,9000000,40191.9
12,9000000,63587.4
13,9000000,37743.0
14,9000000,55295.2
15,9000000,55229.2
16,9000000,61933.1
